title,author,category,cover
This is Water, David Foster Wallace, non-fiction,dfw.jpg
Barney's Version, Mordecai Richler, fiction,barney.JPG
The Master and Margarita, Mikhail Bulgakov, fiction,bulgakov.jpg
1984, George Orwell, fiction,1984.jpeg
The Metamortphosis, Franz Kafka, fiction,kafka.jpg
Notes from Underground, Fyodor Dostoyevsky, fiction,dostoevskij.jpg
The Unbearable Lightness of Being, Milan Kundera, fiction,kundera.jpg
The Corrections, Jonathan Franzen, fiction,franzen.jpg
The Life Before Us, Romain Gary, fiction,romain.jpg
The Notebook, Agota Kristof, fiction,agota.jpg
"A Visit from the Goon Squad", Jennifer Egan, fiction,egan.jpg
"If You Meet the Buddah on the Road, Kill Him", Sheldon Kopp, non-fiction,buddah.jpg
Zen and the Art of Motorcycle Maintenance, Robert Pirsig, non-fiction,zen.jpg
The Basic Laws of Human Stupidity, Carlo Cipolla, non-fiction,allegroMaNonTroppo.jpg
God is not Great, Christopher Hitchens, non-fiction,hitchens.jpg
